rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart
88,"spotify:track:1r7dV486KA1fMo2w1voblx","EsDeeKid, Fimiguerrero","Tartan","Lizzy Records",88,89,3
89,"spotify:track:5SruEBX3KpgpDvEcIuN53P","Olivia Dean","Baby Steps","PLG - Capitol",16,88,49
90,"spotify:track:12UlWZFRx4feuHwmy5CN2a","Jamie MacDonald","Left It In The River","Capitol CMG Label Group",14,86,87
91,"spotify:track:2Ui2JtVjnbHZuExldryCOA","Julia Wolf","In My Room","girls in purgatory",2,92,235
92,"spotify:track:4MHORmGs8oN7AASfGmApcM","Lewis Capaldi","Something In The Heavens","Vertigo Berlin",48,-1,8
93,"spotify:track:6r1lboTadi5swMquaAWDzh","BigXthaPlug, Ella Langley","Hell At Night (feat. Ella Langley)","BigXthaPlug under exclusive license to UnitedMasters LLC",3,91,52
94,"spotify:track:44xDy4h27s4ENaC8fKnCoC","El Bogueto, Yung Beef","Cuando No Era Cantante","Candela Music",94,-1,1
95,"spotify:track:5Vu1MTtsQFUO03YpHyfcuU","Geezer, Kevin Abstract, Dominic Fike, Love Spells, Truly Young","Doggy (feat. Love Spells and Truly Young)","Kevin Abstract",31,-1,5
96,"spotify:track:0IPBqw1WDfXfkzJgQaYOl9","nate band","Miss Your Body","Thirty Knots / moshpit projects.",4,90,27
97,"spotify:track:4ecdsGz3Hg6TKPwQ0ZOdJz","CORTIS","FaSHioN","Republic Records – CORTIS",3,99,58
98,"spotify:track:0eAuGrXyGFYwur9ARUe7LJ","Malcolm Todd","Earrings","Columbia",87,100,15
99,"spotify:track:5MqzNAzRgVj2dfp30LJ6s1","Kehlani","Out The Window","TSNMI / Atlantic",86,94,6
100,"spotify:track:2N9miXnewVmUrgl6JSK1FI","LE SSERAFIM, j-hope","SPAGHETTI","SOURCE MUSIC",33,-1,15
