rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart
40,"spotify:track:4TPDmfmopnXyECu2mIXyEI","Sadık Nergis, MIHRIBAN","HACEL OBASI","Funfair Records",1,38,21
41,"spotify:track:6flQ5XJKj5qIhpxSHOd3jC","A.R. Rahman, Faheem Abdullah, Irshad Kamil","Aawaara Angaara","T-Series",41,44,3
42,"spotify:track:2hY9mOKGblxfNFl2GOQKj4","JMSN","Love Me","JMSN",26,41,14
43,"spotify:track:0myPb7rgTdf5dTHnfwdvO9","Hazbin Hotel, Jessica Vosk, Alex Brightman, Sam Haft, Andrew Underberg","Gravity","Atlantic Records",2,40,38
44,"spotify:track:7ohMSMZrovYscFvEMkrtzP","Myztro, Leehleza, Shaunmusiq, Ftears","Tobetsa 3.0 (feat. Shaunmusiq & Ftears)","New Money Gang Records",41,43,3
45,"spotify:track:1PtQJZVZIdWIYdARpZRDFO","Kate Bush","Running Up That Hill (A Deal With God)","Fish People",1,42,80
46,"spotify:track:4G7bbgD2DHORU4frrWoCXp","DJ Japa NK, MC Meno K, MC Ryan SP, Mc Jacaré, DJ DAVI DOGDOG","Posso Até Não Te Dar Flores","Bololo Records",5,45,57
47,"spotify:track:2Uyj6K6mSaFTZsPvov415i","ARJN, KDS, FIFTY4, RONN","KALYANI","Universal Music India Pvt Ltd.",47,47,3
48,"spotify:track:1yGJ40k7HLF3odITZPoQs4","RnBoi","MON BÉBÉ","DOUBLE JEU RECORDS",24,48,24
49,"spotify:track:09xhawlPUifhftf8zuie7w","Buckshot, fakemink","Fever","-",21,49,16
50,"spotify:track:7BPNz9Ap1rFIX27umIQchp","-Prey, ZMAJOR, zxnc, Emrld!","From The Start - Funk","void",48,53,8
